BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201507,13,855,201507,13,858,98435,595391,INDIANA,18,2015,July,Thunderstorm Wind,C,113,NOBLE,IWX,7/13/2015 8:55,EST-5,7/13/2015 8:58,0,0,0,0,0.00K,0.00K,Public,50,EG,,,,,,,,,,1,S,KENDALLVILLE,1,S,KENDALLVILLE,41.44,-85.27,41.44,-85.27,"A strong to severe quasi-linear convective system dropped southeast out of Wisconsin and intensified as it moved across Lake Michigan. This led to sporadic wind damage, mainly in southwest lower Michigan and northern Indiana, as well as localized flooding.",Large tree limb down.,CSV
201507,13,950,201507,13,953,98435,595392,INDIANA,18,2015,July,Thunderstorm Wind,C,17,CASS,IWX,7/13/2015 9:50,EST-5,7/13/2015 9:53,0,0,0,0,0.00K,0.00K,Public,50,EG,,,,,,,,,,1,E,ROYAL CENTER,1,E,ROYAL CENTER,40.87,-86.49,40.87,-86.49,"A strong to severe quasi-linear convective system dropped southeast out of Wisconsin and intensified as it moved across Lake Michigan. This led to sporadic wind damage, mainly in southwest lower Michigan and northern Indiana, as well as localized flooding.","Tree down, relayed by county EMA.",CSV
201507,13,1020,201507,13,1220,98435,595395,INDIANA,18,2015,July,Flood,C,141,ST. JOSEPH,IWX,7/13/2015 10:20,EST-5,7/13/2015 12:20,0,0,0,0,0.00K,0.00K,Law Enforcement,,,Heavy Rain,,,,,,,,,3,N,GILMER PARK,2,N,NUTWOOD,41.64,-86.3,41.6306,-86.2861,"A strong to severe quasi-linear convective system dropped southeast out of Wisconsin and intensified as it moved across Lake Michigan. This led to sporadic wind damage, mainly in southwest lower Michigan and northern Indiana, as well as localized flooding.",U.S. 20 interchange closed due to an accident due to a water covered roadway.,CSV
201507,13,1045,201507,13,1245,98435,595396,INDIANA,18,2015,July,Flood,C,3,ALLEN,IWX,7/13/2015 10:45,EST-5,7/13/2015 12:45,0,0,0,0,0.00K,0.00K,Department of Highways,,,Heavy Rain,,,,,,,,,2,WSW,EDGERTON,3,WSW,EDGERTON,41.0684,-84.8448,41.0647,-84.8445,"A strong to severe quasi-linear convective system dropped southeast out of Wisconsin and intensified as it moved across Lake Michigan. This led to sporadic wind damage, mainly in southwest lower Michigan and northern Indiana, as well as localized flooding.",Allen County Highway Department reports Rorick Road from Lortie Road to Moore Road is closed due to a wash-out.,CSV
201507,13,1125,201507,13,1325,98435,595397,INDIANA,18,2015,July,Flood,C,141,ST. JOSEPH,IWX,7/13/2015 11:25,EST-5,7/13/2015 13:25,0,0,0,0,0.00K,0.00K,Department of Highways,,,Heavy Rain,,,,,,,,,3,N,GILMER PARK,3,N,GILMER PARK,41.6415,-86.2947,41.6383,-86.298,"A strong to severe quasi-linear convective system dropped southeast out of Wisconsin and intensified as it moved across Lake Michigan. This led to sporadic wind damage, mainly in southwest lower Michigan and northern Indiana, as well as localized flooding.",U.S. 20/ U.S. 31 bypass closed between State Road 23 and U.S. 31 due to high water.,CSV
201507,13,1955,201507,13,1958,98440,595398,INDIANA,18,2015,July,Hail,C,85,KOSCIUSKO,IWX,7/13/2015 19:55,EST-5,7/13/2015 19:58,0,0,0,0,0.00K,0.00K,NWS Employee,1,,,,,,,,,,,1,N,OSWEGO,1,N,OSWEGO,41.34,-85.78,41.34,-85.78,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",,CSV
201507,13,2001,201507,13,2004,98440,595399,INDIANA,18,2015,July,Hail,C,85,KOSCIUSKO,IWX,7/13/2015 20:01,EST-5,7/13/2015 20:04,0,0,0,0,0.00K,0.00K,NWS Employee,0.88,,,,,,,,,,,0,N,LEESBURG,0,N,LEESBURG,41.33,-85.85,41.33,-85.85,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",,CSV
201507,13,2026,201507,13,2029,98440,595400,INDIANA,18,2015,July,Thunderstorm Wind,C,113,NOBLE,IWX,7/13/2015 20:26,EST-5,7/13/2015 20:29,0,0,0,0,0.00K,0.00K,State Official,50,EG,,,,,,,,,,1,E,CROMWELL,1,E,CROMWELL,41.4,-85.61,41.4,-85.61,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Report of a tree down near Cromwell.,CSV
201507,13,2035,201507,13,2038,98440,595401,INDIANA,18,2015,July,Hail,C,75,JAY,IWX,7/13/2015 20:35,EST-5,7/13/2015 20:38,0,0,0,0,0.00K,0.00K,Trained Spotter,0.75,,,,,,,,,,,1,WNW,WESTCHESTER,1,WNW,WESTCHESTER,40.51,-84.9,40.51,-84.9,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",,CSV
201507,13,2047,201507,13,2050,98440,595404,INDIANA,18,2015,July,Thunderstorm Wind,C,39,ELKHART,IWX,7/13/2015 20:47,EST-5,7/13/2015 20:50,0,0,0,0,0.00K,0.00K,State Official,50,EG,,,,,,,,,,2,WSW,MILLERSBURG,2,WSW,MILLERSBURG,41.51,-85.73,41.51,-85.73,"A northward retreating outflow boundary from morning thunderstorms and eastward migration of upstream instability allowed for convection to fire later in the evening as the cap eroded and an upstream upper level trough approached the region. Storms initially produced isolated hail and wind damage, however heavy rainfall and flash flooding quickly became the primary threat.",Large tree down across County Road 44 between County Roads 37 and 33.,CSV
